filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE_old,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an,min_val_norm,max_val_norm,AE_unc,LSTMAE,LSTMAE_unc,AE
KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,0.836761635,0.660842665,0.551688145,0.858525996,0.808484108,0.779719302,0.315815031,0.852817008,0.403128769,0.733167454,0.660076323,0.933851217,IOPS,165.0,0.056396543,46,132.5,17.0,483.5971082,108074,0,1,0,sequence,16.21,38.26,0.9301490518110224,0.9301490472002152,0.9414651990615016,0.9172968003220704
KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,0.656863847,0.645601328,0.785191949,0.796785808,0.776351517,0.579512965,0.436314969,0.675164592,0.504641165,0.677874616,0.583089888,0.859010822,IOPS,11.0,0.053186194,60,94.38333333,23.0,361.4841671,106475,0,1,0,sequence,75.55,216.91,0.8698572261058067,0.8698350595368752,0.8287356426964563,0.6953578000455891
KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,0.808290969,0.826196163,0.739457274,0.544370343,0.835590551,0.733875178,0.544067537,0.860740897,0.291881308,0.773757332,0.732632775,0.922751678,IOPS,9.0,0.016759039,10,12.7,4.5,19.91004771,7578,0,1,0,sequence,-2.56046888914,7.786339683089999,0.9190554140066808,0.9190554140066808,0.9344547104072064,0.9568213113073656
KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,0.488811049,0.754566558,0.786942673,0.473442776,0.612741732,0.377025542,0.384100552,0.375300903,0.46100225,0.582917235,0.700054122,0.539053539,IOPS,287.0,0.017346939,14,13.35714286,12.5,5.601111406,10780,0,1,0,sequence,-1.7961483698700005,2.97008542432,0.5770797080707621,0.5770797080707621,0.5991869315373739,0.7192647147167613
KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,0.829506633,0.284513498,0.190402046,0.240009008,0.864124726,0.824624797,0.61280186,0.870824116,0.580669064,0.627909611,0.590187419,0.637368182,IOPS,125.0,0.009763836,92,15.52173913,4.0,43.12254486,146254,0,1,0,sequence,20.68,50.22,0.7935814956763847,0.7935815317474597,0.8306721717379472,0.6521020503135707
KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,0.77990912,0.583060383,0.907933268,0.951542202,0.793133839,0.771873012,0.399235371,0.765082831,0.584554057,0.635189673,0.575060496,0.912236105,IOPS,125.0,0.017204331,61,41.21311475,3.0,82.28561111,146126,0,1,0,sequence,61.08,179.41,0.9407154111139197,0.94355546850618,0.9419669449017828,0.7894648721538486
KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251.test.out,0.604165649,0.924682638,0.961129948,0.890079167,0.871057172,0.354839468,0.790197015,0.437977641,0.823684972,0.622438642,0.498220065,0.631394702,IOPS,288.0,0.006944444,5,12.2,3.0,17.90418945,8784,0,1,0,sequence,0.0166604113217433,0.4179777614503836,0.7878982076778368,0.7878982076778368,0.6086791467065586,0.8251503938147313
KPI-c69a50cf-ee03-3bd7-831e-407d36c7ee91.test.out,0.629262657,0.393524401,0.718790531,0.856339229,0.736577646,0.607263318,0.423131061,0.692305677,0.486733784,0.783017918,0.837468423,0.980622977,IOPS,125.0,0.004706387,59,11.89830508,11.0,9.313185323,149159,0,1,0,sequence,20.37,52.03,0.9757938291991924,0.9757938387945728,0.9795079611625817,0.9346695342269818
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.test.out,0.436096425,0.566117351,0.656634255,0.888929001,0.489155758,0.327283969,0.502640485,0.405268246,0.275038601,0.61992346,0.489928304,0.557534867,IOPS,8.0,0.081648269,77,113.6363636,11.0,231.1684554,107167,0,1,0,sequence,1.7442174829900006e-08,0.262619832102,0.5442831328501608,0.544283143301317,0.5263556545834851,0.5365239594204834
KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.test.out,0.629488886,0.860531226,0.835331101,0.848090558,0.843422136,0.302782453,0.429014335,0.603440319,0.461662449,0.699407284,0.685820771,0.713001755,IOPS,288.0,0.010587432,7,13.28571429,3.0,22.83927873,8784,0,1,0,sequence,-1.6925827919999998,2.8350348480000003,0.7133640580494248,0.7133640580494247,0.7537374886622217,0.7873848320417548
